revisions_ID,Mockup_ID,Version_number,Completed_at,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Base_version,Read_at
31840,180321,1,2023-08-14 16:28:08.131000+00:00,2023-08-11 22:19:15.111000+00:00,2023-08-14 16:29:04.111000+00:00,,,,1,2023-08-14 16:29:04.111000+00:00
31802,,,2023-08-11 18:15:05.582000+00:00,2023-08-11 15:45:57.902000+00:00,2023-08-18 16:45:07.878000+00:00,91443,,,,2023-08-18 16:45:07.878000+00:00
31821,,,,2023-08-11 18:08:44.284000+00:00,2023-08-11 18:08:44.288000+00:00,91524,,,,
31809,179546,1,2023-08-15 18:28:16.488000+00:00,2023-08-11 17:08:10.783000+00:00,2023-08-15 18:28:16.488000+00:00,,,,1,
31791,,,2023-08-14 16:02:42.641000+00:00,2023-08-11 14:18:34.013000+00:00,2023-08-14 16:02:42.641000+00:00,,29982,,,
31820,179295,1,2023-08-14 17:20:37.850000+00:00,2023-08-11 17:55:05.653000+00:00,2023-08-14 17:20:37.850000+00:00,,,,1,
31825,180244,1,,2023-08-11 18:58:04.998000+00:00,2023-08-11 18:58:05.004000+00:00,,,,1,
31788,179462,1,2023-08-15 16:53:57.279000+00:00,2023-08-11 13:29:26.167000+00:00,2023-08-15 16:53:57.279000+00:00,,,,1,
31795,179857,1,,2023-08-11 14:32:47.987000+00:00,2023-08-15 19:50:05.679000+00:00,,,,1,2023-08-15 19:50:05.679000+00:00
31807,180053,2,,2023-08-11 16:44:41.557000+00:00,2023-08-14 17:14:58.480000+00:00,,,,2,
31816,179841,2,2023-08-11 17:38:03.768000+00:00,2023-08-11 17:37:49.803000+00:00,2023-08-11 17:38:03.768000+00:00,,,,2,
31814,179841,1,2023-08-11 17:34:07.469000+00:00,2023-08-11 17:27:38.536000+00:00,2023-08-11 17:37:28.751000+00:00,,,,1,2023-08-11 17:37:28.751000+00:00
31813,178370,1,2023-08-14 16:56:21.963000+00:00,2023-08-11 17:23:05.166000+00:00,2023-08-14 16:56:21.963000+00:00,,,,1,
31815,179837,1,2023-08-11 17:37:56.858000+00:00,2023-08-11 17:36:02.439000+00:00,2023-08-11 17:37:56.858000+00:00,,,,1,
31830,180135,1,2023-08-11 22:02:50.789000+00:00,2023-08-11 19:38:03.519000+00:00,2023-08-11 22:02:50.789000+00:00,,,,1,
31806,177161,2,2023-08-11 17:07:07.010000+00:00,2023-08-11 16:41:06.796000+00:00,2023-08-11 17:07:07.011000+00:00,,,,2,
31810,179380,1,,2023-08-11 17:08:36.583000+00:00,2023-08-14 19:47:57.314000+00:00,,,,1,
31799,179389,1,2023-08-11 18:25:04.254000+00:00,2023-08-11 15:02:56.182000+00:00,2023-08-11 18:25:04.254000+00:00,,,,1,
31812,180084,1,2023-08-11 18:00:43.583000+00:00,2023-08-11 17:10:44.728000+00:00,2023-08-11 18:12:19.969000+00:00,,,,1,
31818,179837,2,2023-08-14 14:59:49.311000+00:00,2023-08-11 17:52:37.905000+00:00,2023-08-14 14:59:49.311000+00:00,,,,2,
31811,,,2023-08-11 18:01:48.919000+00:00,2023-08-11 17:09:26.758000+00:00,2023-08-11 19:54:04.385000+00:00,91488,,,,2023-08-11 19:54:04.385000+00:00
31843,180229,2,2023-08-14 16:59:49.908000+00:00,2023-08-11 23:28:34.473000+00:00,2023-08-14 22:53:24.587000+00:00,,,,2,2023-08-14 22:53:24.587000+00:00
31805,179389,1,2023-08-11 18:25:25.921000+00:00,2023-08-11 16:40:55.239000+00:00,2023-08-11 18:25:25.921000+00:00,,,,1,
31823,180223,1,,2023-08-11 18:25:51.506000+00:00,2023-08-11 18:25:51.512000+00:00,,,,1,
31793,179701,1,2023-08-11 19:04:13.968000+00:00,2023-08-11 14:19:29.694000+00:00,2023-08-11 19:04:13.969000+00:00,,,,1,
31787,179791,2,2023-08-11 19:24:58.156000+00:00,2023-08-11 00:00:29.754000+00:00,2023-08-11 19:24:58.156000+00:00,,,,2,
