ID,Mockup ID,Version number,Completed at,Created at,Updated at,Packaging ID,Product ID,Sock pair ID,Base version,Read at
21918,134590.0,1.0,2023-01-05T20:35:06.555Z,2023-01-05T19:27:56.844Z,2023-01-05T20:35:06.555Z,,,,1.0,
21923,134801.0,2.0,2023-01-05T20:44:14.441Z,2023-01-05T20:16:43.879Z,2023-01-05T20:44:14.441Z,,,,2.0,
21924,134798.0,1.0,2023-01-05T20:47:59.579Z,2023-01-05T20:17:33.294Z,2023-01-05T20:47:59.579Z,,,,1.0,
21916,134530.0,2.0,,2023-01-05T19:14:15.942Z,2023-01-05T20:53:39.668Z,,,,2.0,
21922,134827.0,1.0,,2023-01-05T20:15:31.613Z,2023-01-05T21:44:10.825Z,,,,1.0,
21919,134405.0,1.0,,2023-01-05T19:32:03.937Z,2023-01-06T19:32:44.263Z,,,,1.0,
21938,134714.0,1.0,,2023-01-05T21:25:17.045Z,2023-01-06T20:40:59.610Z,,,,1.0,
21926,134651.0,1.0,,2023-01-05T20:22:09.478Z,2023-01-06T21:30:33.709Z,,,,1.0,
21948,,,2023-01-06T00:06:39.592Z,2023-01-05T22:24:35.823Z,2023-09-12T19:07:14.294Z,4429.0,,,,2023-09-12T19:07:14.294Z
21941,133309.0,2.0,,2023-01-05T21:40:20.857Z,2023-01-06T20:54:34.160Z,,,,2.0,
21954,86306.0,1.0,2023-01-06T00:05:30.265Z,2023-01-05T22:57:37.656Z,2023-01-06T00:05:30.265Z,,,,1.0,
21929,134791.0,1.0,2023-01-05T21:00:06.165Z,2023-01-05T20:35:57.318Z,2023-01-05T21:00:06.165Z,,,,1.0,
21933,134530.0,2.0,,2023-01-05T21:00:53.578Z,2023-01-05T21:03:01.236Z,,,,2.0,
21942,133308.0,2.0,,2023-01-05T21:40:34.345Z,2023-01-06T20:56:27.718Z,,,,2.0,
21956,134918.0,2.0,2023-01-06T17:30:06.498Z,2023-01-05T23:07:38.029Z,2023-01-06T17:30:06.498Z,,,,2.0,
21932,129725.0,1.0,2023-01-05T21:04:40.524Z,2023-01-05T20:48:44.528Z,2023-01-05T21:04:40.524Z,,,,1.0,
21939,133308.0,2.0,,2023-01-05T21:37:25.098Z,2023-01-06T20:56:30.269Z,,,,2.0,
21955,134918.0,2.0,2023-01-06T17:30:08.432Z,2023-01-05T23:01:51.617Z,2023-01-06T17:30:08.432Z,,,,2.0,
21937,134850.0,1.0,2023-01-05T21:46:54.069Z,2023-01-05T21:25:08.158Z,2023-01-05T21:46:54.069Z,,,,1.0,
21950,130018.0,2.0,2023-01-06T17:25:54.791Z,2023-01-05T22:45:33.357Z,2023-12-07T15:38:45.886Z,,,,2.0,2023-12-07T15:38:45.886Z
21931,134535.0,1.0,2023-01-05T21:46:59.444Z,2023-01-05T20:42:16.759Z,2023-01-05T21:47:12.468Z,,,,1.0,
